episode_number,title,pubdate_short,primary_start_year,primary_end_year,year_label,primary_region,era_bucket,themes,key_figures,is_series,series_key,part_number,is_strongly_1800_1934,confidence,reasoning,duration,audio_url,spotify_search_url,guid
1,Trailer,2020-10-28,0,0,Undated,Undated,Undated,Meta/Podcast,,false,,,false,high,This is explicitly titled “Trailer” and describes the podcast’s general subject matter rather than focusing on a specific historical episode or period.,286,https://pdst.fm/e/traffic.megaphone.fm/GLT4186105386.mp3?updated=1773403834,https://open.spotify.com/search/The%20Rest%20Is%20History%20Trailer,a428c3fa-10c8-4b77-a85a-04c812bf7477
1,1. Greatness,2020-11-02,0,0,Undated,Global,Undated,Politics & Power; Biography,,false,,,false,high,"The episode is a broad thematic discussion of who is considered “great,” explicitly ranging “from Nero to Nixon, with a bit of Trump,” rather than focusing on one period or person. It is therefore undated and global in scope.",1975,https://pdst.fm/e/traffic.megaphone.fm/GLT2583338621.mp3?updated=1777062859,https://open.spotify.com/search/The%20Rest%20Is%20History%201.%20Greatness,d64331b9-0d45-4f03-b2da-f6d5ac189422
2,2. Civil War,2020-11-02,0,0,Undated,Global,Undated,War & Military; Politics & Power,,false,,,false,high,"The episode is framed as a thematic investigation of what causes civil wars, asking “What are the conditions needed for a civil war to start?” It ranges from “ancient history” through Spain in the 1930s and Yugoslavia in the 1990s, so no single primary period dominates.",2361,https://pdst.fm/e/traffic.megaphone.fm/GLT5809911007.mp3?updated=1777394993,https://open.spotify.com/search/The%20Rest%20Is%20History%202.%20Civil%20War,24104338-377e-42eb-afb7-e3184d74af40
3,3. Is Trump Caesar or Nixon?,2020-11-09,2020,2020,2020,United States,Contemporary,Politics & Power; Biography,Donald Trump; Richard Nixon; Julius Caesar; Joe Biden,false,,,false,high,"The episode was recorded immediately after Joe Biden was named president and focuses on whether Donald Trump is a modern Caesar or successor to Richard Nixon, with comparisons to the 1970s and ancient Rome. The dominant focus is contemporary United States politics in 2020.",2329,https://pdst.fm/e/traffic.megaphone.fm/GLT4982990068.mp3?updated=1777394973,https://open.spotify.com/search/The%20Rest%20Is%20History%203.%20Is%20Trump%20Caesar%20or%20Nixon%3F,f8d76a6b-51f5-4e4c-9e02-9fd29222bb64
4,4. We’re all so 17th Century,2020-11-09,1600,1699,1600 – 1699,Britain,Early Modern,Disaster & Plague; Politics & Power; Revolution,Oliver Cromwell,false,,,false,medium,"The title explicitly frames the episode around the “17th Century,” while the description compares 2020 with plague, statue smashing, and Oliver Cromwell’s political repression. The dominant historical reference is Britain in the 1600s, despite the episode’s contemporary comparison.",2218,https://pdst.fm/e/traffic.megaphone.fm/GLT1251829896.mp3?updated=1777394932,https://open.spotify.com/search/The%20Rest%20Is%20History%204.%20We%E2%80%99re%20all%20so%2017th%20Century,d7b04e6f-4dc6-4b27-aa9e-aa69b44d2cf9
5,5. 1981,2020-11-16,1981,1981,1981,Britain,Postwar,Politics & Power; Economics & Trade; Monarchy & Royalty; Sport,Margaret Thatcher; Prince Charles; Lady Diana,false,,,false,high,"The episode is explicitly titled “1981” and describes unemployment, riots, and a country governed by a divisive post-war prime minister, anchoring it to Britain in that year. It also highlights the wedding of Prince Charles and Lady Diana and the Ashes cricket series.",2480,https://pdst.fm/e/traffic.megaphone.fm/GLT3026558838.mp3?updated=1777394965,https://open.spotify.com/search/The%20Rest%20Is%20History%205.%201981,8583b546-9a5d-4d2c-82bb-5251b5cd1808
6,6. Troy,2020-11-23,-1300,-1150,1300 BCE – 1150 BCE,Mediterranean,Ancient,War & Military; Culture & Arts,,false,,,false,medium,"The episode focuses on the legendary Trojan War and asks whether it actually happened. The war is conventionally placed in the Late Bronze Age, roughly 1300–1150 BCE, though the description emphasizes uncertainty about its historicity.",2322,https://pdst.fm/e/traffic.megaphone.fm/GLT4742295987.mp3?updated=1777395028,https://open.spotify.com/search/The%20Rest%20Is%20History%206.%20Troy,19f9fd6c-418e-4d54-935d-ae0fe7e797b6
7,7. The Lessons of History,2020-11-30,0,0,Undated,Undated,Undated,Meta/Podcast,,false,,,false,high,"The episode asks broadly whether we can learn from history and describes the hosts roaming 'through the centuries,' without identifying a specific period or event.",2893,https://pdst.fm/e/traffic.megaphone.fm/GLT2771707131.mp3?updated=1777395007,https://open.spotify.com/search/The%20Rest%20Is%20History%207.%20The%20Lessons%20of%20History,9c12bcb9-a366-4c17-8511-64833851e0da
8,8. The Echo of a Coffee House,2020-12-07,0,0,Undated,Global,Undated,Science & Technology; Culture & Arts,,false,,,false,high,"The episode is a broad thematic comparison of “technical innovations from the printing press to Twitter” and asks whether social media is a new phenomenon, rather than focusing on a single historical period. The London coffee-house and Swift quotation provide historical examples but do not define the episode’s primary period.",2664,https://pdst.fm/e/traffic.megaphone.fm/GLT8695060101.mp3?updated=1777394957,https://open.spotify.com/search/The%20Rest%20Is%20History%208.%20The%20Echo%20of%20a%20Coffee%20House,1686e28a-939e-4913-a179-ed0747bbfbd9
9,9. Causes of the First World War,2020-12-14,1914,1918,1914 – 1918,Europe,World Wars & Interwar,War & Military; Politics & Power; Diplomacy,,false,,,true,high,"The title explicitly identifies the episode as covering the causes of the First World War, while the description asks whether Britain should have fought or stayed out. This anchors the main focus to the European war of 1914–1918.",2767,https://pdst.fm/e/traffic.megaphone.fm/GLT8234482474.mp3?updated=1777395079,https://open.spotify.com/search/The%20Rest%20Is%20History%209.%20Causes%20of%20the%20First%20World%20War,9d6008a5-5750-40a9-a132-d72e920d83f2
10,10. Christmas,2020-12-21,1800,1900,1800 – 1900,Britain,Long 19th Century,Religion & Church; Culture & Arts; Economics & Trade,Charles Dickens,false,,,true,medium,"The description frames the episode around Christmas’s transformation into a private and commercial celebration, asking whether it was “invented by Dickens”; this points primarily to the 19th-century Victorian reshaping of Christmas, while acknowledging older religious origins.",2371,https://pdst.fm/e/traffic.megaphone.fm/GLT9855064623.mp3?updated=1777394940,https://open.spotify.com/search/The%20Rest%20Is%20History%2010.%20Christmas,b3da5f03-3b6c-4e27-804c-48abf5dd70af
11,11. Brexit,2020-12-28,2016,2020,2016 – 2020,Britain,Contemporary,Politics & Power; Diplomacy,,false,,,false,medium,"The description explicitly centers on Britain leaving the EU and comparisons made to Brexit, placing the episode in the contemporary Brexit period, approximately from the 2016 referendum through the UK's departure in 2020.",2698,https://pdst.fm/e/traffic.megaphone.fm/GLT9171248177.mp3?updated=1777395016,https://open.spotify.com/search/The%20Rest%20Is%20History%2011.%20Brexit,b42d85a5-8b97-4c13-8529-4c43c6619b51
12,12. Conspiracy Theories,2021-01-04,0,0,Undated,Global,Undated,Politics & Power; Crime & Mystery; Assassination,John F. Kennedy,false,,,false,high,"The episode is a thematic examination of conspiracy theories “through the ages,” ranging from Popish plots to JFK’s assassination and coronavirus-vaccine stories, rather than a focus on one dated period.",2869,https://pdst.fm/e/traffic.megaphone.fm/GLT7580472793.mp3?updated=1777394982,https://open.spotify.com/search/The%20Rest%20Is%20History%2012.%20Conspiracy%20Theories,b7f5d597-24b2-44a4-a673-e27ceeb1e626
13,13. Stephen Fry and Troy,2021-01-07,-1300,-1100,1300 BCE – 1100 BCE,Mediterranean,Ancient,Culture & Arts; Literature,,false,,,false,low,"The title identifies Troy, while the description focuses on Stephen Fry’s fascination with the Greek myths. These point to the ancient/mythic Greek world, but no precise historical dates are given, so the Bronze Age range is approximate.",3795,https://pdst.fm/e/traffic.megaphone.fm/GLT5875934078.mp3?updated=1777395057,https://open.spotify.com/search/The%20Rest%20Is%20History%2013.%20Stephen%20Fry%20and%20Troy,e184b185-bbad-4a9a-be77-e5402184fb9e
14,14. Historical Fiction,2021-01-11,0,0,Undated,Undated,Undated,Literature; Culture & Arts,,false,,,false,high,"The episode asks about “the truth of history” in novels and ranges across literature to discuss “the best of historical fiction,” without identifying a specific historical period or event.",3569,https://pdst.fm/e/traffic.megaphone.fm/GLT2461510190.mp3?updated=1777395054,https://open.spotify.com/search/The%20Rest%20Is%20History%2014.%20Historical%20Fiction,d34eec88-c4b0-4fa9-b717-8557d548e8ab
15,15. Walls and Borders,2021-01-18,0,0,Undated,Global,Undated,Politics & Power; War & Military; Empire & Colonialism,,false,,,false,high,"The episode is a broad thematic history of separation, explicitly ranging from “the Great Wall of China to the Berlin Wall” rather than focusing on a single period or event. Its central themes are walls, borders, exclusion, and political power.",2760,https://pdst.fm/e/traffic.megaphone.fm/GLT1636005045.mp3?updated=1777395052,https://open.spotify.com/search/The%20Rest%20Is%20History%2015.%20Walls%20and%20Borders,9c8ffd81-a713-4ca2-a6a6-8a183bd74f94
16,16. Pompeii,2021-01-21,79,79,79,Italy,Ancient,Disaster & Plague; Exploration & Discovery,,false,,,false,high,"The episode focuses on Pompeii, described as the ruined Italian city and a site buried beneath ashes, clearly anchoring it to the AD 79 eruption and the Ancient era.",3089,https://pdst.fm/e/traffic.megaphone.fm/GLT3349011345.mp3?updated=1777395023,https://open.spotify.com/search/The%20Rest%20Is%20History%2016.%20Pompeii,d3a2f394-441d-4924-9717-c8c0f94c4eee
17,17. Fascism,2021-01-25,1919,1945,1919 – 1945,Europe,World Wars & Interwar,Ideology; Politics & Power,,false,,,false,low,"The description asks about the origins and history of fascism as a political model, indicating its main 20th-century European period, but it gives no explicit dates or countries. A broad 1919–1945 range is therefore inferred from the topic rather than directly stated.",2968,https://pdst.fm/e/traffic.megaphone.fm/GLT5738760220.mp3?updated=1777394968,https://open.spotify.com/search/The%20Rest%20Is%20History%2017.%20Fascism,3032a55e-8d16-40a9-b5da-d15add95ab9f
18,18. The North South Divide,2021-01-28,0,0,Undated,Britain,Undated,Culture & Arts,,false,,,false,high,"The description focuses on the enduring regional and cultural divide between northern and southern England, including comparisons with Scotland and Wales and differences in meal customs, but gives no specific historical dates.",3307,https://pdst.fm/e/traffic.megaphone.fm/GLT3709184192.mp3?updated=1777394862,https://open.spotify.com/search/The%20Rest%20Is%20History%2018.%20The%20North%20South%20Divide,a1957320-8c6d-459f-a135-662c21c29b2b
19,19. King Arthur,2021-02-01,500,600,500 – 600,Britain,Medieval,Monarchy & Royalty; Culture & Arts,King Arthur,false,,,false,low,"The description focuses on the legend of King Arthur and asks whether he was 'even English,' pointing to the Arthurian tradition in early medieval Britain. Because it explicitly questions whether Arthur was historical or mythical, the dates are approximate.",3091,https://pdst.fm/e/traffic.megaphone.fm/GLT1076701162.mp3?updated=1777394962,https://open.spotify.com/search/The%20Rest%20Is%20History%2019.%20King%20Arthur,33d3108e-c3ba-4256-9f1b-1760422edcb6
20,20. China,2021-02-04,1839,1976,1839 – 1976,China,Postwar,Empire & Colonialism; War & Military; Politics & Power; Ideology,Mao Zedong,false,,,false,medium,"The description specifically highlights the Opium Wars, the birth of the Chinese Communist Party, and the legacy of Chairman Mao, indicating a focus from the mid-19th century through Mao's era. The inclusion of both 19th-century imperial conflict and post-1945 Communist China makes the dominant span multi-era, with the later period particularly prominent.",3532,https://pdst.fm/e/traffic.megaphone.fm/GLT4329327216.mp3?updated=1777395005,https://open.spotify.com/search/The%20Rest%20Is%20History%2020.%20China,4922323b-c339-41dd-a666-ebad0b5179ed
21,21. The History of the Future,2021-02-08,0,0,Undated,Undated,Undated,Science & Technology; Religion & Church; Meta/Podcast,,false,,,false,high,"The episode is a thematic discussion of “history’s take on the future,” covering oracles, prophecies, apocalypse, and scientific projection rather than a specific historical period.",2560,https://pdst.fm/e/traffic.megaphone.fm/GLT7103118075.mp3?updated=1777394956,https://open.spotify.com/search/The%20Rest%20Is%20History%2021.%20The%20History%20of%20the%20Future,e9923700-1c29-48eb-a2d8-77a0d953ea1d
22,22. Weird Wars,2021-02-11,0,0,Undated,Global,Undated,War & Military,,false,,,false,high,"The description presents a selection of the “top ten strangest conflicts of all time” without identifying a specific period, region, or named historical event, so it is genuinely undated and global in scope.",2777,https://pdst.fm/e/traffic.megaphone.fm/GLT2360848948.mp3?updated=1777395020,https://open.spotify.com/search/The%20Rest%20Is%20History%2022.%20Weird%20Wars,63673d87-8fb9-43f9-8371-a0d57cbc48cb
23,23. The 90s,2021-02-15,1990,1999,1990 – 1999,Britain,Contemporary,Culture & Arts; Politics & Power; Economics & Trade; Science & Technology,Tony Blair; Monica Lewinsky,false,,,false,high,"The title is 'The 90s', and the description explicitly identifies the subject as 'the 1990s', highlighting ecstasy, emails, economic stability, Oasis, Tony Blair, Monica Lewinsky and Mr Blobby. The examples are predominantly British, though the episode also touches the United States.",2844,https://pdst.fm/e/traffic.megaphone.fm/GLT8035489270.mp3?updated=1777394993,https://open.spotify.com/search/The%20Rest%20Is%20History%2023.%20The%2090s,daf1885b-b936-46e1-9909-9fa745f46f67
24,24. Sex in the City,2021-02-18,1700,1900,1700 – 1900,Britain,Long 19th Century,Sex & Scandal; Culture & Arts,,false,,,false,high,"The description explicitly frames the episode as covering sex in the “18th and 19th Century.” The reference to Hallie Rubenhold’s work on Covent Garden supports Britain, particularly London, as the dominant setting.",2878,https://pdst.fm/e/traffic.megaphone.fm/GLT9221135938.mp3?updated=1777394968,https://open.spotify.com/search/The%20Rest%20Is%20History%2024.%20Sex%20in%20the%20City,d433c765-33ca-42aa-9e93-131377438491
25,25. Empires,2021-02-22,0,0,Undated,Global,Undated,Empire & Colonialism; Politics & Power,,false,,,false,high,"The description presents a broad thematic discussion asking whether “the age of empires” is over and examining “empires through history,” rather than focusing on a specific period or event.",3225,https://pdst.fm/e/traffic.megaphone.fm/GLT2896270746.mp3?updated=1777395048,https://open.spotify.com/search/The%20Rest%20Is%20History%2025.%20Empires,28df9627-236f-4391-baf8-96fa282d3013
26,26. Witches,2021-02-25,1500,1800,1500 – 1800,Europe,Early Modern,Religion & Church; Crime & Mystery; Politics & Power,,false,,,false,low,"The description offers a broad “history of witches and witchcraft” and focuses on why society saw witches “as a threat,” which most strongly suggests the early-modern European witch-hunt era, though no dates or specific region are stated.",2978,https://pdst.fm/e/traffic.megaphone.fm/GLT8850594772.mp3?updated=1777395029,https://open.spotify.com/search/The%20Rest%20Is%20History%2026.%20Witches,2c270509-347d-458e-8f98-f1c70232876b
27,27. Tutankhamun,2021-03-01,-1341,-1323,1341 BCE – 1323 BCE,Africa,Ancient,Monarchy & Royalty; Biography; Exploration & Discovery,Tutankhamun; Akhenaten,false,,,false,medium,"The episode is primarily about the Egyptian pharaoh Tutankhamun and his family, especially his father Akhenaten, placing the main focus in the 14th century BCE. Howard Carter’s discovery of the tomb in 1922 is discussed as a later framing event rather than the central period.",2936,https://pdst.fm/e/traffic.megaphone.fm/GLT2697164979.mp3?updated=1777394975,https://open.spotify.com/search/The%20Rest%20Is%20History%2027.%20Tutankhamun,d4913283-8d30-436e-aeae-a0ce01cce49d
28,28. The Kings of Comedy,2021-03-04,0,0,Undated,Undated,Undated,Culture & Arts,,false,,,false,high,"The description presents this as a broad discussion of “the history of comedy” and asks whether comedy has “changed through time,” without identifying a dominant period or region.",3414,https://pdst.fm/e/traffic.megaphone.fm/GLT5677879972.mp3?updated=1777395093,https://open.spotify.com/search/The%20Rest%20Is%20History%2028.%20The%20Kings%20of%20Comedy,2342a41f-33fa-493a-8d21-7da9a9dc0cef
29,29. Americanisation,2021-03-08,1900,2020,1900 – 2020,United States,Postwar,Empire & Colonialism; Culture & Arts; Economics & Trade; Politics & Power,,false,,,false,medium,"The episode examines the rise of US influence through 'the dollar and Hollywood,' its replacement of 'the British empire,' and whether that power is 'now waning,' indicating a primarily 20th-century-to-contemporary focus. The dominant emphasis appears to be the post-1945 global order, though the discussion spans a broader period.",2826,https://pdst.fm/e/traffic.megaphone.fm/GLT9683168458.mp3?updated=1777394981,https://open.spotify.com/search/The%20Rest%20Is%20History%2029.%20Americanisation,f88db45e-dcdb-4e19-ad2d-9586fdff4ca3
30,30. A Royal Row,2021-03-09,2021,2021,2021,Britain,Contemporary,Monarchy & Royalty; Politics & Power; Sex & Scandal,Harry; Meghan; Oprah Winfrey,false,,,false,medium,"The description focuses on the contemporary British monarchy's scrutiny following the interview with Harry and Meghan conducted by Oprah Winfrey, indicating a present-day episode centered on the 2021 interview.",1808,https://pdst.fm/e/traffic.megaphone.fm/GLT5120507213.mp3?updated=1777394855,https://open.spotify.com/search/The%20Rest%20Is%20History%2030.%20A%20Royal%20Row,64a4684e-1492-4e02-87a8-2bbc4712bc4e
31,31. The Second Reich,2021-03-11,1871,1918,1871 – 1918,Germany,Long 19th Century,Politics & Power; Monarchy & Royalty; War & Military,,false,,,true,high,"The episode focuses on the German Second Reich, which emerged after the Prussian victory over France in 1870 and was destroyed by the First World War less than fifty years later, corresponding to approximately 1871–1918.",3161,https://pdst.fm/e/traffic.megaphone.fm/GLT1008050219.mp3?updated=1777394991,https://open.spotify.com/search/The%20Rest%20Is%20History%2031.%20The%20Second%20Reich,089fa561-6b20-476f-975a-344e3618f47d
32,32. What if?,2021-03-15,0,0,Undated,Global,Undated,Meta/Podcast,,false,,,false,high,"The episode is a thematic discussion of historical counterfactuals, explicitly asking whether imagining scenarios such as “the Nazis winning World War 2” or “the Roman Empire never falling” is valid historical enquiry. It does not focus on a single dated period.",2760,https://pdst.fm/e/traffic.megaphone.fm/GLT7767131043.mp3?updated=1777394951,https://open.spotify.com/search/The%20Rest%20Is%20History%2032.%20What%20if%3F,f2338a37-e91c-4b16-b937-217d8ba8fb50
